Оружие для турнира №8;camel_mech;2;0;33;0;0;0;0;0;0;16;74;
Оружие для турнира №9;chipolino_kinjal;2;0;15;0;40;0;0;0;0;13;26;
Оружие для турнира №10;delta_axe;2;0;7;0;4;0;0;0;0;5;18;
Оружие для турнира №11;delta_hammer;2;0;0;0;0;0;0;0;0;7;15;
Оружие для турнира №12;drovosek_topor;2;0;0;0;0;0;0;0;0;1;1;
Оружие для турнира №13;funtik_mech;2;0;34;0;43;0;0;0;0;22;31;
Оружие для турнира №14;goldy;2;0;0;0;20;0;0;0;0;3;28;
Оружие для турнира №15;hammer56;2;2;0;0;0;0;0;0;0;5;17;
Оружие для турнира №16;hammer66;2;0;53;7;0;0;0;0;0;18;37;
Оружие для турнира №17;homyachina_mech1;2;22;0;0;59;0;0;0;0;9;26;
Оружие для турнира №18;homyachina_mech2;2;5;9;0;30;0;0;0;0;16;35;
Оружие для турнира №19;klaus_mech;2;0;0;0;2;0;0;0;0;8;79;
Оружие для турнира №20;pix22_mech;2;0;0;0;42;0;0;0;0;13;17;
Щит для турнира №1;art4;9;0;10;4;0;3;6;0;0;0;0;
Щит для турнира №2;ashield3;9;0;5;0;0;10;0;0;0;0;0;
Щит для турнира №3;pix22_shield;9;10;59;27;58;1;10;6;7;0;0;
Щит для турнира №4;shield1;9;0;0;18;4;0;0;0;0;0;0;
Щит для турнира №5;shield10;9;0;2;48;1;3;0;0;6;0;0;
Щит для турнира №6;shield17;9;0;7;2;1;5;5;0;0;0;0;
Щит для турнира №7;shield19;9;0;0;0;21;0;6;8;0;0;0;
Щит для турнира №8;shield205;9;3;39;14;60;0;9;6;10;0;0;
Щит для турнира №9;shield25;9;5;0;0;0;0;0;10;0;0;0;
Щит для турнира №10;shield4;9;0;5;0;0;9;0;8;2;0;0;
Щит для турнира №11;shield5;9;0;8;0;9;0;9;5;0;0;0;
Щит для турнира №12;shield9;9;2;8;0;0;8;0;0;0;0;0;
Щит для турнира №13;trshield1;9;0;13;0;16;6;1;5;0;0;0;
Щит для турнира №14;trshield2;9;0;0;59;0;0;1;7;6;0;0;
Эликсир силы;elix_sila;0;0;0;0;0;0;0;0;0;0;0;
Эликсир ловкости;elix_lovkost;0;0;0;0;0;0;0;0;0;0;0;
Вкусняшка;elix_hertz;0;0;0;0;0;0;0;0;0;0;0;
